id;label;timeset;hashtag;modularity_class;eigencentrality;freq;centrality
135;#carrier;;#carrier;78;0.025331557952191084;534.647.240.585;0.0238448092511
136;#jobs;;#jobs;78;0.025331557952191084;324.873.059.539;0.0199531175546
137;#mexico;;#mexico;78;0.025331557952191084;263.316.121.116;0.0209450884424
138;#scprimary;;#scprimary;79;0.0;5.166.845.014;0.00523668748099
139;#nhprimaryhttps;;#nhprimaryhttps;80;0.0;43.161.107.881;0.00254682195406
140;#nhprimary;;#nhprimary;81;0.00267181078865859;589.172.717.951;0.0131164327957
141;#votetrumpnh;;#votetrumpnh;81;0.00267181078865859;797.887.989.788;0.0197866173809
142;#fitn;;#fitn;37;0.20825851252960192;990.072.916.165;0.0369851087622
143;#superbowlsunday;;#superbowlsunday;82;0.00267181078865859;275.559.008.238;0.0149456246366
144;#sb50;;#sb50;82;0.00267181078865859;517.423.109.404;0.0113363551644
145;#votetrumpnhhttps;;#votetrumpnhhttps;83;0.0;215.395.528.305;0.00130112504963
146;#nhpolitics;;#nhpolitics;37;0.2577396816564113;634.600.542.538;0.0102541622665
147;#votersspeak;;#votersspeak;84;0.0;238.209.292.599;0.00789342462531
148;#iacaucus;;#iacaucus;37;0.1910918456240766;10.685.004.764;0.0281166737459
149;#caucusfortrumphttps;;#caucusfortrumphttps;85;0.0;467.682.261.022;0.00985844866527
150;#caucusfortrump;;#caucusfortrump;86;0.0;118.914.264.833;0.00414530749999
151;#gopdebate;;#gopdebate;61;0.14817219621035813;336.238.498.864;0.00829007557443
152;#foxnews;;#foxnews;87;0.00267181078865859;504.005.822.059;0.00597816405535
153;#rogerailes;;#rogerailes;87;0.00267181078865859;207.960.340.909;0.011974326042
154;#jonas;;#jonas;88;0.00267181078865859;147.795.240.528;0.00771316467772
155;#wewanttrump;;#wewanttrump;61;0.1749554884549879;208.171.602.263;0.0199617663971
156;#rnc;;#rnc;89;0.0;375.530.370.879;0.00540437072152
157;#commonlaw;;#commonlaw;90;0.009542915754011743;519.119.069.264;0.0125880094791
158;#naturalborn;;#naturalborn;90;0.009542915754011743;465.969.246.846;0.0194724094357
159;#tedcruz;;#tedcruz;90;0.009542915754011743;534.607.433.496;0.0151260459299
160;#cruz;;#cruz;91;0.0;47.059.189.915;0.000936374360186
161;#laurencetribe;;#laurencetribe;92;0.0;129.792.800.684;0.00880900416914
162;#trump2016unifying;;#trump2016unifying;93;0.0;444.465.362.741;0.00461220245225
163;#trump2016life;;#trump2016life;94;0.0;279.875.905.423;0.00329323900624
164;#economy;;#economy;61;0.14817219621035813;559.831.346.359;0.00785973840745
165;#2016;;#2016;95;0.0;413.385.800.018;0.00855029069288
166;#iowacaucus;;#iowacaucus;96;0.0;225.556.214.513;0.00271446562534
167;#iapolitics;;#iapolitics;37;0.1910918456240766;393.574.849.605;0.0274039898581
168;#bush;;#bush;97;0.0;425.545.211.608;0.00786051102427
169;#wh;;#wh;98;0.0;309.397.803.429;0.00397971743556
